,X,Y,P
Nose,208.77485795454544,140.8585409252669,1.0
Neck,264.46966314935065,246.36565836298934,1.0
RShoulder,277.2330560064935,236.3923487544484,1.0
RElbow,0.0,0.0,0.0
RWrist,0.0,0.0,0.0
LShoulder,257.5078125,262.6379003558719,1.0
LElbow,0.0,0.0,0.0
LWrist,0.0,0.0,0.0
RHip,0.0,0.0,0.0
RKnee,0.0,0.0,0.0
RAnkle,0.0,0.0,0.0
LHip,0.0,0.0,0.0
LKnee,0.0,0.0,0.0
LAnkle,0.0,0.0,0.0
REye,219.79778814935065,127.21085409252669,1.0
LEye,231.40087256493507,135.6094306049822,1.0
REar,0.0,0.0,0.0
LEar,273.171976461039,173.40302491103202,1.0
